idx1,idx2,t_x,t_y,t_z,q_w,q_x,q_y,q_z
659,17,9.80496,-2.23358,-0.0970442,0.999569,-0.00323356,-0.00752002,-0.0281698
17,203,-6.67082,0.926017,0.124347,0.972997,0.000853499,-0.000789111,-0.230809
660,204,-1.91185,-2.44499,0.0131606,0.833331,-0.00226273,0.0089589,0.552697
204,285,8.36724,-1.66225,0.0896784,0.968181,-0.000650173,4.48325e-05,0.250253
661,286,-4.4572,2.51898,-0.0205095,0.980058,-0.00307348,-0.00697742,-0.198573
662,288,-0.807908,7.30276,0.0458529,-0.159384,-0.0015353,0.00335057,0.98721
165,287,5.3216,-4.0933,-0.0578414,0.739086,0.0137153,-0.0368125,0.672467
663,288,2.39966,-1.57763,-0.00392731,-0.385267,-0.00270959,0.00483571,0.92279
165,289,-14.0251,5.2943,0.0470602,0.999222,0.0340288,-0.0199376,0.000902543
664,20,4.05195,6.69868,0.0118618,0.425092,-0.000869949,-0.00316251,0.905148
20,290,-4.52797,14.2293,0.04857,-0.306906,-0.00165816,0.00662094,0.951716
207,290,7.17304,-9.90582,0.13481,0.890697,0.000572567,0.00171728,0.454596
290,477,0.0275678,-2.7392,0.0317192,-0.379448,0.0042318,0.00712353,0.925178
208,291,2.85753,-5.72339,0.0534525,0.727863,-0.00251187,0.00366264,-0.685719
23,478,-0.172074,1.15571,-0.0694511,0.611674,0.00148576,-0.00292057,-0.791111
211,292,-1.56288,-10.174,-0.0244519,0.999314,-0.00709549,0.00108956,0.036378
669,26,-0.135502,1.50633,-0.0801461,0.768389,-0.00398772,-0.00734976,-0.639935
26,481,2.53874,0.0853575,0.0549621,0.557573,0.000596234,0.00114248,0.830127
670,213,5.07518,-1.1278,-0.019812,0.796726,0.00577166,0.00462424,0.604297
213,482,-1.16316,14.0629,-0.229684,0.992537,0.00104537,-0.000478866,0.12194
27,483,0.255648,-15.458,-0.215954,0.362696,0.00124253,-0.00169038,0.931905
672,29,8.01659,-2.87715,0.0298988,0.703266,-0.0141452,-0.000853728,0.710787
29,296,6.58381,15.1344,0.177357,0.786674,0.00502546,3.25839e-05,-0.617351
297,484,0.370946,-0.329161,-0.16189,0.537817,-0.00436121,0.00353811,-0.843044
673,301,-10.7731,2.9406,0.285037,-0.0370022,0.00877521,0.0224438,0.999025
30,300,6.53123,4.12761,0.0675346,-0.145395,0.0205092,-0.00823572,0.989129
31,299,-1.65136,3.80844,0.542265,-0.0582401,-0.00935327,0.00657059,0.998238
32,298,5.99012,2.88087,0.604551,0.982912,-0.00768569,-0.00905768,-0.183688
216,300,-4.37545,5.65556,0.09375,0.704141,-0.00306833,-0.00747303,-0.710018
217,485,-2.39363,-5.52184,0.026657,0.907148,-0.00222647,-0.00766481,-0.420739
218,487,-3.19526,-1.61363,-0.0314374,0.989832,-0.00732316,1.50439e-05,0.142055
300,485,7.21722,6.28589,-0.225904,0.546167,0.0118257,0.00180858,0.837595
674,33,-5.95065,-2.29919,0.0544144,0.924708,-0.00425492,0.00451173,-0.380628
674,302,-7.50299,-0.487498,0.412574,0.999794,-0.016236,-0.00154775,0.012133
31,303,-5.05797,-7.64685,0.428998,0.981035,-0.0061895,-0.00851888,0.193552
33,219,-2.00173,4.24041,-2.9437,-0.330056,0.169497,0.270919,0.888221
33,488,3.36549,0.625944,0.316111,0.886652,0.00369414,-0.00153514,-0.462423
34,302,-2.90961,-0.515876,0.374491,0.621644,-0.000617652,-0.0114013,0.783222
218,303,0.608682,9.96143,-0.0125883,-0.238163,0.00554949,-0.00649118,0.9712
219,489,-4.08539,-5.81991,-0.0818239,0.872235,0.000238401,-0.00374037,0.489079
221,299,1.6797,-9.86972,0.1305,0.946873,0.00513013,0.0073027,0.321492
300,489,6.51321,-5.84823,-0.272113,0.209961,0.0105951,-0.00194771,0.977657
675,32,1.78002,2.15171,-0.0475312,0.341884,-0.00625843,-0.000414907,0.939721
675,487,-3.48279,2.88936,-0.249791,0.905059,0.0111175,-0.0100416,-0.425021
676,489,2.37188,6.63384,0.185977,0.547095,0.00309679,-0.000136807,-0.837068
678,36,-4.0893,-7.35905,0.0203268,0.801922,0.00624266,2.73305e-05,0.597394
33,490,9.64222,-7.14026,0.380018,0.658375,0.00462044,0.00181151,-0.752674
35,490,-3.79629,0.201076,0.0320575,0.787761,-0.000333427,0.00407703,0.615967
222,303,-5.84644,3.79357,0.0630131,0.966765,-0.00523298,-0.00528139,0.255559
679,36,-0.774775,-2.74496,-0.0221255,0.780589,0.00569351,0.000316105,0.625014
35,491,-10.0611,2.74821,0.0885984,0.249481,0.000962431,0.00240448,0.968378
223,491,-0.54433,-1.87926,0.0140309,-0.217537,-0.00134849,0.000124664,0.976052
680,306,2.7888,-3.62753,0.0135794,0.807902,0.000482945,0.00371601,-0.589307
37,306,-0.810688,-0.295911,0.0610907,-0.10171,0.00294431,0.00150232,0.99481
224,492,1.43476,-0.754699,0.00114866,0.722341,0.001602,-0.00103005,0.691536
681,307,1.05544,-6.06904,-0.00813199,0.794986,0.00611708,0.00570025,-0.606573
38,492,0.478117,9.30423,-0.0960448,0.91897,-0.00371038,-0.000694138,0.394308
307,493,-2.57617,0.494702,-0.118969,-0.272117,-0.0047446,0.001745,0.962251
38,494,0.0838582,-6.40433,0.0532029,0.855072,-0.000127622,-0.0019243,-0.518508
307,494,5.3936,-0.485266,0.0295406,0.984059,-0.000689251,-0.0071865,0.177693
39,227,-6.46175,-0.328855,-0.0143884,0.914473,-0.00109856,0.00103233,-0.404651
40,309,7.28624,-5.2521,-0.0129802,0.978707,-0.00131245,-0.00196395,-0.205304
685,497,0.658506,-1.50212,-0.0375743,0.613715,-0.00968922,0.00597069,0.789446
42,310,-0.454236,1.07543,0.302883,0.991358,-0.0087846,-0.00831511,-0.130632
686,43,-1.19743,-0.536027,-0.365483,0.662484,0.0165228,-0.00593951,-0.748873
42,230,2.12694,-7.62985,0.57542,0.974514,-0.018929,-0.00597637,0.223451
44,311,1.87912,-2.98661,0.281739,0.926056,0.000565986,0.0121474,-0.377175
687,230,5.49507,-1.94231,-0.0597546,0.643488,-0.000682992,-0.000321463,-0.765456
688,231,-5.8354,-1.39396,-0.0695899,0.372862,0.000554351,-0.00131136,0.927886
231,313,0.231578,0.195438,-0.0417664,-0.310407,-0.0103215,-0.00665258,0.950525
689,233,-2.96861,3.55244,-0.0284579,0.997747,0.000592339,0.00124532,0.0671002
690,47,-3.97009,3.25651,0.00429169,0.92994,-0.00290637,-0.00341955,0.36769
46,502,-5.77407,5.57423,-0.00267709,0.792187,-0.00333435,0.000859829,0.61027
234,502,4.66051,-0.925777,-0.0207555,0.559633,-0.00397136,-0.000150712,0.828734
691,503,0.193282,-0.249266,-0.0667404,0.999909,0.00133372,-0.000269331,0.013532
234,317,-8.29825,1.18389,-0.0918094,0.804855,0.00373028,-0.00633323,-0.593429
692,236,-3.95876,0.620948,-0.0347048,0.655994,0.00166552,0.00196138,0.754761
236,504,-1.30839,-3.29682,-0.0490441,0.640781,-0.00306452,-0.00063193,-0.767718
236,319,3.10458,10.0754,-0.221497,-0.167449,0.00350291,0.00417679,0.985868
694,238,-1.50681,-1.04761,-0.00938262,0.934701,-0.00118953,0.00121333,0.355432
320,506,-2.31373,4.92779,0.0135006,0.594635,-0.000356365,-0.00156951,-0.804004
239,507,2.18308,-0.648645,-0.00830909,0.343968,0.010479,0.000146856,0.938924
697,509,-0.840242,0.824603,0.0410801,0.77823,-0.00222698,-0.0012274,-0.627979
698,322,-0.703783,-4.70139,-0.158764,0.644047,0.00374289,-0.0086397,0.764932
699,510,2.73536,2.21223,0.0667133,0.790192,0.00259076,-0.0052214,0.612834
700,326,9.2432,-0.602671,0.115745,0.887802,0.00537769,-0.0096961,-0.460095
702,59,-1.13749,-2.37876,0.199958,-0.302128,-0.0188116,-0.0245996,0.952768
59,327,3.02898,5.33961,-0.345406,0.984652,0.0173035,-0.0124663,-0.173233
246,327,5.9849,5.35518,-0.123966,0.946285,0.00613091,-0.00615035,-0.323219
328,515,-1.55855,2.15165,0.126507,0.521535,0.00253897,-0.00859822,-0.853186
247,328,-1.45027,0.606332,-0.108085,0.996679,-0.00258523,-0.00184682,-0.0813713
60,330,-4.71805,14.2348,-0.344749,0.996987,-0.00275393,-0.00343185,-0.0774602
705,330,5.34101,6.4435,-4.17285,0.545722,-0.299366,-0.472619,-0.623861
62,330,-3.29291,3.86615,-0.0841505,-0.0519778,0.00153888,0.00134543,0.998647
249,517,-0.683238,-0.606248,-0.100689,0.940996,0.00178226,0.000565695,-0.338414
706,332,-0.138044,1.2501,0.0719743,0.466939,0.000435656,-0.00772427,0.88426
63,517,8.86422,7.6134,-0.067235,0.533136,0.00028313,-0.00201332,0.846034
332,518,-0.52409,-3.86338,0.0548918,0.02404,0.000966454,0.00649793,0.999691
63,333,-9.50698,-6.80269,0.050082,0.933016,-0.00160533,0.00700054,0.359762
251,332,4.29101,-8.7394,-0.224229,0.99577,0.00523002,0.00121399,0.0917659
708,252,-2.14418,4.24173,-0.0619783,0.610975,-0.00180796,-0.00647069,-0.791622
65,333,-3.17492,8.23927,-0.268431,0.607846,-0.00636986,0.00705095,0.794006
709,252,-5.39729,-0.85477,-0.0134379,0.330553,0.00633705,0.00165856,0.943766
66,252,-6.06698,4.81689,-0.126826,0.685555,-0.00532667,0.00120251,0.727999
253,335,-0.677493,0.429147,-0.0992168,-0.276363,-0.000447033,0.00374243,0.961048
710,254,4.55386,-0.162728,-0.0174455,0.621761,0.00310527,0.00103046,0.783199
711,336,-3.84929,3.39395,-0.0214595,0.887715,0.00178629,-0.000463384,0.460393
68,336,-5.3105,3.37575,-0.0550842,0.866424,-0.00237701,-0.00017415,0.499307
337,522,-8.86977,10.4263,-0.217504,0.918754,0.00551557,0.000888275,0.394791
256,337,0.60644,9.03337,-0.0399448,0.954875,0.00239214,0.000549903,-0.297001
713,257,-3.15444,-1.7102,0.0409579,0.769168,0.000829707,-0.000703835,-0.639051
70,257,-3.72786,0.0837874,0.0230965,0.692308,0.000697209,0.000207872,-0.721605
339,525,-1.49422,5.9715,-0.2129,0.105473,0.000507589,0.000609223,0.994424
70,526,-9.61528,-1.44413,-0.0929267,0.614559,0.00472576,0.00162407,-0.788854
258,526,-2.53662,-3.29522,-0.198399,0.700273,-0.0022676,-0.00129687,0.713872
715,527,-0.825119,1.23637,-0.103588,-0.0263362,-0.00203176,-0.00551712,0.999637
258,341,9.42355,8.59035,0.371379,-0.319388,0.00235034,-3.41234e-05,0.947624
716,259,-4.14983,-3.52261,-0.0690286,0.910798,-0.000765443,0.00680568,0.412796
259,528,6.22422,-2.08931,0.159659,0.999896,-0.00258599,-0.00386331,0.0137489
717,342,-1.26746,-3.78526,-0.0577255,0.990164,-0.00810087,0.00189458,0.139654
720,264,1.57625,-1.96606,0.0863091,0.682527,0.000551246,0.00250408,-0.730858
721,347,2.03518,-6.80141,0.229951,0.809039,-0.00300667,-0.00341926,-0.587741
264,532,-0.897817,-0.742971,-0.0657543,-0.0882528,-0.00258537,-0.00274685,0.996092
722,79,0.619924,-0.7441,-0.000103253,0.440191,-0.0020365,-0.00163951,0.8979
79,348,-2.75173,-5.0259,0.170313,0.473225,0.000361837,0.000950197,0.880943
348,533,5.67384,-14.688,-0.476978,-0.119108,0.000376183,0.00138461,0.99288
80,349,0.106717,0.196821,-0.0191772,0.0769573,0.000376711,0.00210368,0.997033
724,267,0.421418,0.476801,0.0858923,0.500893,-0.000820232,-0.00048629,-0.865512
725,82,-1.80857,-0.205588,-0.0279032,0.951066,-0.00522223,0.0044495,-0.308915
81,351,-8.0337,10.0763,0.216639,-0.197351,0.00573009,-0.00458296,0.980308
82,538,1.12048,5.77846,-0.00458345,0.0141356,0.000558548,0.0108564,0.999842
84,536,-11.2703,-9.35548,-0.27457,0.970973,-0.0143823,-0.00205682,-0.23876
352,537,0.43389,9.87124,-0.0388887,0.706712,0.0028447,0.0191951,-0.707237
726,539,1.82123,-2.0746,-0.0176879,-0.45368,-0.010267,-0.0197272,0.890889
85,538,8.10602,2.58106,-0.364491,0.976088,0.00803245,-0.00203986,-0.217229
727,352,-2.84114,-0.427623,-0.0658394,0.718523,-0.00528922,-0.000835597,0.695485
728,353,1.29636,-2.12486,-0.0681195,0.858417,0.0061981,0.00468501,-0.512897
729,87,9.49321,-2.33061,-0.0796618,0.820658,9.32291e-05,0.000842344,-0.571421
730,543,-8.59544,-3.65936,-0.182149,-0.447428,0.00150908,0.000442924,0.894318
731,543,-0.0604127,-0.546075,-0.011963,0.500459,0.00081416,0.000774099,0.86577
89,358,-0.465731,-0.827183,-0.178562,0.995551,-0.0059535,-0.00228468,-0.0940129
90,359,-4.76698,1.73097,-0.28091,-0.345503,-0.000921881,-0.000170335,0.938422
735,92,-0.203266,0.752367,-0.0766082,-0.358944,0.00138758,0.00208068,0.933356
736,548,-0.565755,-0.65316,0.00369624,0.737055,-0.00386465,0.000966284,0.675823
361,548,2.14558,1.61246,-0.191181,-0.131614,-0.000277373,-0.000178089,0.991302
737,549,-4.46692,-0.0020868,-0.107495,0.906324,-0.00773956,0.00924786,-0.422414
738,95,-4.77159,-5.11746,-0.304858,0.157366,0.00407114,0.00711355,0.987508
362,550,17.4637,9.59994,3.04796,0.319486,0.815475,-0.00151615,-0.482622
96,552,-2.84035,-1.33678,-0.0357554,0.936554,-0.00277578,0.00100266,-0.350513
97,366,0.366323,-0.983198,-0.0412063,0.833333,0.00605612,0.00346272,-0.55273
367,553,5.69531,-0.438472,0.269843,0.969424,-0.000400892,0.00045947,0.245396
99,367,2.20785,-3.18104,0.132597,0.899786,-0.00343307,-0.00424313,-0.436298
368,554,-1.94313,-3.42093,0.0484593,0.672055,0.000352307,-0.000893919,0.740502
100,369,2.33976,-8.9551,-0.262849,0.351632,-0.000213557,-0.01076,0.936077
744,102,8.88811,2.86704,-0.39856,0.958396,-0.0028728,0.00104794,-0.28543
102,370,-1.57489,-0.845748,0.0852172,0.944096,-0.00183359,-0.00544385,-0.329623
745,370,2.16812,0.44835,0.091343,0.665648,0.00183441,-0.00585537,0.74624
371,558,-0.54196,1.46363,0.00433562,0.97301,0.000772717,0.00244127,0.230757
103,558,0.990265,-2.13656,0.124796,0.6322,0.00264372,-1.16275e-05,0.774803
747,559,0.976841,-0.261158,0.0966584,0.580947,-0.00377962,0.000817684,-0.813931
373,560,0.445331,0.962267,0.0117563,0.779578,-0.000709471,0.00464272,0.62629
374,560,9.1833,-0.374638,0.197627,0.550235,0.00263323,-0.000688014,-0.835006
750,107,-2.59562,-2.72251,0.0213887,0.959533,-0.00124315,0.000549602,0.281593
375,562,-1.13116,-1.85379,0.0075647,0.996931,0.00169307,-0.000574091,-0.0782854
108,376,3.07595,-2.7026,-0.0613899,-0.324205,0.00109094,-0.0083526,0.945949
752,378,8.18883,-0.709326,0.125527,0.357202,-0.00977082,-0.00383918,0.933969
753,110,1.67064,-0.370546,0.018182,0.398378,-0.000433008,8.98057e-05,0.917224
379,565,-1.474,-7.45374,-0.0967862,0.99397,-0.00131519,-0.00350082,0.109609
110,567,-16.7819,-4.88703,0.165274,0.117501,0.00372418,-6.32008e-05,0.993067
380,567,2.44123,0.307061,0.0299052,0.987852,-0.00155228,-0.0058891,-0.155299
112,566,-2.38238,-11.7087,-0.0772855,0.880241,0.00490321,-0.000444587,-0.474507
113,381,6.87881,3.77623,0.0812117,0.619058,0.00832714,-0.00104754,-0.785301
382,568,12.5176,-4.88913,-0.00829863,0.195876,0.00867998,-0.00386179,0.980583
114,570,-2.3986,-7.52842,-0.0760945,0.993709,-0.00100949,-0.000162649,0.111981
759,116,2.94362,-1.72591,-0.0438558,0.856274,0.00736454,0.00264546,0.516462
115,385,6.9306,2.33266,-0.178176,0.548431,0.003015,0.00336848,0.836188
117,383,-10.2316,-11.1549,-0.0389547,-0.40936,0.00356743,-6.2669e-05,0.912368
384,572,-7.10478,-0.379021,-0.00133231,-0.419189,0.000785757,-0.00322069,0.907894
760,118,4.31725,-3.26574,-0.0924894,0.899062,0.00744784,9.94517e-05,0.437758
115,387,13.5578,7.1628,-0.249692,-0.220026,0.00839227,-0.00195276,0.975456
118,385,-2.21261,7.17932,-0.0396918,0.999904,0.00440431,-0.00234296,0.0129678
119,387,-0.899279,-4.29959,-0.0998183,-0.44506,0.00600968,-0.00184205,0.895479
386,574,6.06456,-0.114922,0.0119861,-0.258966,0.000712092,0.00229565,0.965884
761,388,-9.07381,0.433523,-0.203599,0.995101,0.00451304,0.00269225,0.0987432
762,388,1.53288,0.769749,-0.149872,0.830734,0.0116681,-0.00443316,-0.556531
120,388,1.7288,7.03704,0.0153283,0.824896,0.00256334,0.00236552,0.565276
121,577,-6.24314,-5.07675,-0.00703705,0.369969,0.00239634,0.00162068,0.92904
765,578,-9.80082,-0.133301,-0.0153999,0.771868,0.000673044,-0.000252526,0.635787
766,122,7.6422,1.53604,0.017049,0.758445,0.00149432,-0.0022024,-0.651733
123,578,-2.53985,0.25819,-0.000882372,0.634841,0.00163645,-0.00161154,-0.772647
767,580,-10.2994,0.00115423,0.0387881,-0.0173514,0.00311138,-0.00145692,0.999844
768,124,3.49152,5.85391,-0.0746545,0.476086,0.00232524,0.00252784,0.879391
769,125,0.750033,5.19413,-0.115534,0.885619,-0.00302319,0.00347187,0.464387
126,580,0.0208457,-12.9596,-0.118028,0.647615,0.00027819,0.000539478,0.761966
770,582,2.80886,0.21729,0.049281,0.979579,0.000700024,-0.00476891,-0.200999
771,127,0.548939,-5.02509,-0.0616519,0.997815,0.00310795,0.000246067,0.0660265
128,582,-4.02107,-12.1474,-0.0846514,0.926631,0.000604681,-0.00023365,0.375972
128,398,4.08919,13.5011,0.102476,0.976394,0.00391492,-0.00225241,0.215954
773,585,-5.69997,-7.02807,0.0601594,0.962163,0.000388798,0.00165983,-0.272484
399,584,5.83702,-4.00637,0.0999606,0.957203,-0.00169066,-0.000779354,0.289414
130,586,-1.80076,10.498,0.0869726,0.788684,0.00195462,0.00124461,-0.614816
775,131,-3.88421,1.22247,-0.0331208,0.695583,-0.00218274,0.000920615,-0.718442
132,587,1.06859,-2.47184,0.0473729,-0.34632,-0.00120552,-0.000307434,0.938116
132,401,-1.62317,4.91542,0.0218071,0.701057,0.00428288,-0.00300131,0.713088
777,134,-4.38129,2.89315,-0.0627381,0.339576,-9.2034e-06,-0.00136499,0.940579
778,590,-1.44268,1.13974,-0.0662091,0.998894,0.00119849,0.000219211,-0.0470414
135,591,2.89654,-2.74576,-0.183178,0.997711,-9.40849e-05,-0.000177602,0.0676461
780,592,-3.47154,0.112796,-0.160818,0.831399,-0.00830619,0.00347704,-0.555603
137,405,3.12077,-1.60868,0.0718866,0.944755,0.000381771,-0.0207988,-0.327153
138,591,-4.30783,11.3736,3.9519,-0.139545,0.703869,-0.678455,0.157462
406,593,-3.14963,-2.96693,-0.0677366,-0.330879,0.00532896,0.0131728,0.943566
781,407,2.23865,1.70232,-0.056247,0.24569,0.0037474,0.00221354,0.969338
138,594,0.547489,-4.90784,-0.219035,0.825274,0.00381734,0.00350076,-0.564713
407,594,-4.52602,-3.06813,-0.0255088,-0.415203,0.00905983,0.0121727,0.909603
782,408,-0.345167,-1.09487,-0.0585788,0.780728,0.00427082,-0.00102554,-0.624857
139,409,1.41849,-4.18331,-0.424333,-0.338269,0.00270246,-0.00249156,0.941044
406,595,-8.42319,-9.98652,0.0576081,0.609349,-0.00987447,-0.0112502,-0.792758
783,409,1.42279,1.72145,-0.0434222,0.947588,-0.00219811,0.00131377,-0.319487
784,596,0.626184,0.847989,-0.0676095,-0.251623,0.00584396,-0.00293929,0.967805
785,598,2.63333,-5.98448,-0.0809329,0.955778,0.00376277,0.00120214,0.294069
411,597,5.81758,-5.89718,-0.0892986,0.852732,-0.00632044,-0.00129125,0.52231
143,411,-9.54413,-0.775329,-0.121363,-0.383004,-0.00554944,0.00299844,0.923728
787,599,-0.913888,3.6323,-0.0741493,0.807177,-8.48328e-05,0.00130923,0.59031
788,600,-0.950849,2.51953,-0.0465606,0.764271,-0.00118864,-0.00212978,-0.64489
789,146,-2.48298,2.55756,0.188127,0.890085,8.59495e-05,-0.000818299,0.455795
146,601,-1.56693,-6.31123,-0.186141,0.958053,0.00273282,-0.000257042,-0.286578
146,417,1.6882,17.4105,0.162189,0.994039,0.00452982,-0.000725519,-0.108936
791,416,-9.03232,-0.711447,0.0935189,0.98112,-0.00050419,-0.000991506,0.193401
792,604,-2.28938,-1.11581,0.18634,0.336834,-0.00113797,-0.000105865,0.941564
793,604,8.45313,-5.79995,0.188675,-0.475075,-0.000546454,8.22436e-05,0.879951
794,152,6.97061,1.31734,0.0899837,-0.056744,0.00255125,0.00442409,0.998378
151,420,-4.14162,3.85029,-0.0195501,0.72004,-0.00193439,0.00316548,0.693927
795,152,0.620397,-0.565673,0.054645,0.95639,0.00330276,0.000291526,0.292095
421,607,-2.06642,9.18959,0.084187,0.986112,-0.00379513,-5.2706e-05,-0.166052
155,610,2.77221,2.44734,0.00295733,-0.406352,-0.00131763,1.53588e-05,0.913715
155,424,-4.35372,-3.35425,0.020176,0.997217,0.00410661,-0.00406571,-0.0743964
424,611,0.148528,0.289364,0.0476785,0.982231,-0.00377114,0.00319733,0.187601
156,425,3.05518,4.11089,-0.00943924,0.409579,0.00160908,0.00589959,0.912257
800,157,0.624269,-0.12538,-0.0865093,0.0910153,0.00140109,-0.002052,0.995846
426,612,-2.29465,8.87099,-0.132316,0.645689,-0.00106816,-0.00564253,-0.763583
158,426,4.15961,-4.27803,0.00764976,-0.244911,-0.00313059,0.00506851,0.969528
802,428,4.20835,-0.319611,-0.00441145,0.328615,0.00300442,0.00221686,0.944458
428,614,7.74188,4.8638,-0.119085,0.988933,-0.00480772,0.00406839,-0.148261
804,161,0.191827,0.0446895,-0.0717734,0.174217,-0.00349702,-0.00159273,0.984701
161,616,5.16733,2.29307,-0.0396315,0.998723,0.000352277,-0.00034681,-0.0505404
805,617,5.82402,-3.66328,-0.21805,0.143079,0.00374619,-0.000240067,0.989705
430,618,-5.68792,8.33852,-0.160506,0.998792,0.00111779,0.000894515,0.049143
164,432,-4.47012,-2.26029,0.0842284,0.965178,-0.0010082,0.00284392,0.261576
433,620,-0.313075,0.117466,-0.119776,-0.158567,-0.000947968,-0.000736057,0.987348
809,286,-0.527641,-5.07482,-0.0371361,0.511976,-0.0206974,-0.0355526,0.858016
167,286,2.65504,-3.84176,-0.262242,0.850129,-0.0265757,0.0289179,-0.525113
435,621,7.38824,5.47902,-0.151402,0.962052,-0.000333979,-0.00110174,0.27287
167,622,-0.373546,0.508563,0.0733278,0.973433,-0.00109596,-0.000414585,0.229011
168,623,0.00249879,-0.789609,0.120498,0.83054,1.98532e-05,-0.00321125,-0.556954
16,168,1.21519,-3.08395,-0.00349712,0.844535,0.0247303,-0.0308397,0.534043
169,437,-2.96167,3.0437,-0.171345,0.973382,-0.00536965,-0.00380192,-0.229092
813,625,-1.40043,-2.19177,-0.044515,0.845696,0.0201133,-0.00419844,-0.533272
